"UF;CIDADE;UNIDADE;ENDEREÇO;URL"
"PI;TERESINA;PRESIDENTE KENNEDY;AV. PRES. KENNEDY, 840;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/142/SITE/LANDING-PAGE/CHECKOUT/15520/0"
"BA;SALVADOR;RIO VERMELHO; RUA CONSELHEIRO PEDRO LUIZ, 92;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/114/SITE/LANDING-PAGE/CHECKOUT/15495/0"
"PI;TERESINA;RIVERSIDE; AV. ININGA, 1201;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/113/SITE/LANDING-PAGE/CHECKOUT/15494/0"
"PE;RECIFE;ROSA E SILVA; AV. CONS. ROSA E SILVA, 797;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/126/SITE/LANDING-PAGE/CHECKOUT/15507/0"
"SP;SÃO PAULO;SANTA CLARA;RUA BUENÓPOLIS, 144;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/229/SITE/LANDING-PAGE/CHECKOUT/15546/0"
"SP;SOROCABA;SANTA ROSALIA;R. MARIA CINTO DE BIAGI, 164;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/144/SITE/LANDING-PAGE/CHECKOUT/15522/0"
"RN;SÃO GONÇALO DO AMARANTE;SÃO GONÇALO DO AMARANTE;AV. BENEDITO SANTANA, 5;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/264/SITE/LANDING-PAGE/CHECKOUT/15572/0"
"BA;SALVADOR;SÃO RAFAEL; ESTRADA DO MANDU, 56;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/110/SITE/LANDING-PAGE/CHECKOUT/15492/0"
"CE;FORTALEZA;SCOPA PLATINUM; RUA MONSENHOR BRUNO, 1153;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/129/SITE/LANDING-PAGE/CHECKOUT/15509/0"
"CE;FORTALEZA;SHOPPING PARANGABA; RUA GERMANO FRANCK, 300;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/204/SITE/LANDING-PAGE/CHECKOUT/15538/0"
"PA;MARABÁ;SHOPPING PARTAGE MARABÁ;RODOVIA TRANSAMAZÔNICA, FOLHA 30;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/135/SITE/LANDING-PAGE/CHECKOUT/15515/0"
"SP;RIO CLARO;SHOPPING RIO CLARO;AV. CONDÉ FRANCISCO MATARAZZO JÚNIOR, 205;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/137/SITE/LANDING-PAGE/CHECKOUT/15516/0"
"PE;PETROLINA;TANCREDO NEVES; AV. PRESIDENTE TANCREDO NEVES, 1079;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/163/SITE/LANDING-PAGE/CHECKOUT/15531/0"
"MA;SÃO LUIS;TURU; AV. SÃO LUIS REI DA FRANÇA, 140;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/242/SITE/LANDING-PAGE/CHECKOUT/15551/0"
"CE;FORTALEZA;VIA SUL; AV. WASHINGTON SOARES, 4335;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/254/SITE/LANDING-PAGE/CHECKOUT/15562/0"
"CE;FORTALEZA;WASHINGTON SOARES; AV. WASHINGTON SOARES, 3000;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/141/SITE/LANDING-PAGE/CHECKOUT/15519/0"
"PE;CAMARAGIBE;CAMARÁ SHOPPING;RUA MANOEL HONORATO DA COSTA, 555;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/276/SITE/LANDING-PAGE/CHECKOUT/15583/0"
"MA;SÃO LUIS;TIRIRICAL;AV. LOURENÇO VIEIRA DA SILVA, 2.363;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/286/SITE/LANDING-PAGE/CHECKOUT/15592/0"
"PI;TERESINA;DIRCEU;R. JOAQUIM NELSON, 2743 - PARQUE IDEAL,;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/279/SITE/LANDING-PAGE/CHECKOUT/15586/0"
"SP;SÃO JOSÉ DOS CAMPOS;OSWALDO CRUZ;AV. DR. NELSON D'ÁVILA, 1.941, TÉRREO LOJA - JARDIM SÃO DIMA;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/160/SITE/LANDING-PAGE/CHECKOUT/15529/0"
"PE;JABOATÃO;BERNARDO VIEIRA DE MELO ;AV. BERNARDO VIEIRA DE MELO, 941 - PIEDADE;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/278/SITE/LANDING-PAGE/CHECKOUT/15585/0"
